Time,Voltage
0.0,-8.145
4e-05,-8.149
8e-05,-8.159
0.00012,-8.169
0.00016,-8.174
0.0002,-8.184
0.00024,-8.193
0.00028,-8.198
0.00032,-8.203
0.00036,-8.213
0.0004,-8.223
0.00044,-8.228
0.00048,-8.237
0.00052,-8.247
0.00056,-8.252
0.0006,-8.262
0.00064,-8.271
0.00068,-8.276
0.00072,-8.281
0.00076,-8.291
0.0008,-8.296
0.00084,-8.306
0.00088,-8.311
0.00092,-8.32
0.00096,-8.325
0.001,-8.335
0.001,-8.34
0.001,-8.35
0.001,-8.354
0.001,-8.364
0.001,-8.369
0.001,-8.379
0.001,-8.389
0.001,-8.394
0.001,-8.398
0.001,-8.403
0.001,-8.413
0.001,-8.418
0.002,-8.428
0.002,-8.433
0.002,-8.442
0.002,-8.447
0.002,-8.457
0.002,-8.462
0.002,-8.467
0.002,-8.477
0.002,-8.481
0.002,-8.486
0.002,-8.496
0.002,-8.506
0.002,-8.506
0.002,-8.516
0.002,-8.525
0.002,-8.525
0.002,-8.535
0.002,-8.54
0.002,-8.55
0.002,-8.555
0.002,-8.564
0.002,-8.569
0.002,-8.574
0.002,-8.579
0.002,-8.589
0.003,-8.594
0.003,-8.599
0.003,-8.608
0.003,-8.613
0.003,-8.618
0.003,-8.623
0.003,-8.628
0.003,-8.633
0.003,-8.643
0.003,-8.647
0.003,-8.652
0.003,-8.662
0.003,-8.667
0.003,-8.672
0.003,-8.677
0.003,-8.687
0.003,-8.691
0.003,-8.696
0.003,-8.701
0.003,-8.706
0.003,-8.711
0.003,-8.721
0.003,-8.726
0.003,-8.73
0.003,-8.735
0.004,-8.74
0.004,-8.745
0.004,-8.75
0.004,-8.76
0.004,-8.765
0.004,-8.77
0.004,-8.774
0.004,-8.779
0.004,-8.784
0.004,-8.789
0.004,-8.799
0.004,-8.799
0.004,-8.804
0.004,-8.813
0.004,-8.818
0.004,-8.818
0.004,-8.828
0.004,-8.833
0.004,-8.838
0.004,-8.843
0.004,-8.848
0.004,-8.853
0.004,-8.857
0.004,-8.862
0.004,-8.867
0.005,-8.872
0.005,-8.877
0.005,-8.882
0.005,-8.887
0.005,-8.892
0.005,-8.896
0.005,-8.901
0.005,-8.906
0.005,-8.911
0.005,-8.916
0.005,-8.916
0.005,-8.921
0.005,-8.931
0.005,-8.931
0.005,-8.936
0.005,-8.94
0.005,-8.945
0.005,-8.95
0.005,-8.955
0.005,-8.96
0.005,-8.965
0.005,-8.965
0.005,-8.97
0.005,-8.975
0.005,-8.979
0.006,-8.984
0.006,-8.984
0.006,-8.994
0.006,-8.999
0.006,-8.999
0.006,-9.004
0.006,-9.009
0.006,-9.009
0.006,-9.014
0.006,-9.019
0.006,-9.023
0.006,-9.023
0.006,-9.033
0.006,-9.033
0.006,-9.038
0.006,-9.043
0.006,-9.048
0.006,-9.048
0.006,-9.053
0.006,-9.058
0.006,-9.063
0.006,-9.063
0.006,-9.067
0.006,-9.072
0.006,-9.072
0.007,-9.077
0.007,-9.082
0.007,-9.082
0.007,-9.087
0.007,-9.092
0.007,-9.097
0.007,-9.097
0.007,-9.102
0.007,-9.102
0.007,-9.106
0.007,-9.111
0.007,-9.116
0.007,-9.116
0.007,-9.121
0.007,-9.121
0.007,-9.126
0.007,-9.131
0.007,-9.131
0.007,-9.136
0.007,-9.136
0.007,-9.141
0.007,-9.141
0.007,-9.146
0.007,-9.15
0.007,-9.155
0.008,-9.155
0.008,-9.155
0.008,-9.16
0.008,-9.16
0.008,-9.165
0.008,-9.17
0.008,-9.17
0.008,-9.17
0.008,-9.175
0.008,-9.18
0.008,-9.18
0.008,-9.185
0.008,-9.185
0.008,-9.185
0.008,-9.189
0.008,-9.194
0.008,-9.194
0.008,-9.194
0.008,-9.199
0.008,-9.199
0.008,-9.199
0.008,-9.204
0.008,-9.209
0.008,-9.209
0.008,-9.209
0.009,-9.214
0.009,-9.214
0.009,-9.214
0.009,-9.219
0.009,-9.219
0.009,-9.224
0.009,-9.224
0.009,-9.229
0.009,-9.229
0.009,-9.229
0.009,-9.233
0.009,-9.233
0.009,-9.233
0.009,-9.238
0.009,-9.238
0.009,-9.238
0.009,-9.243
0.009,-9.243
0.009,-9.243
0.009,-9.248
