Time (s) Run #1,Voltage (V) Run #1
0.0,0.3
0.004,0.6
0.008,0.8
0.012,1.1
0.016,1.4
0.02,1.7
0.024,2.0
0.028,2.2
0.032,2.5
0.036,2.8
0.04,3.1
0.044,3.5
0.048,3.8
0.052,4.1
0.056,4.4
0.06,4.8
0.064,5.1
0.068,5.5
0.072,5.8
0.076,6.2
0.08,6.4
0.084,6.8
0.088,7.1
0.092,7.5
0.096,7.9
0.1,8.2
0.104,8.6
0.108,9.0
0.112,9.4
0.116,9.7
0.12,10.1
0.124,10.4
0.128,10.8
0.132,11.1
0.136,11.5
0.14,11.9
0.144,12.3
0.148,12.7
0.152,13.1
0.156,13.5
0.16,13.8
0.164,14.2
0.168,14.6
0.172,14.9
0.176,15.3
0.18,15.7
0.184,16.1
0.188,16.4
0.192,16.8
0.196,17.2
0.2,17.6
0.204,18.0
0.208,18.3
0.212,18.7
0.216,19.0
0.22,19.4
0.224,19.7
0.228,20.1
0.232,20.5
0.236,20.8
0.24,21.2
0.244,21.5
0.248,21.9
0.252,22.2
0.256,22.6
0.26,22.9
0.264,23.2
0.268,23.5
0.272,23.9
0.276,24.2
0.28,24.5
0.284,24.8
0.288,25.2
0.292,25.5
0.296,25.8
0.3,26.1
0.304,26.4
0.308,26.7
0.312,27.0
0.316,27.2
0.32,27.5
0.324,27.7
0.328,28.1
0.332,28.3
0.336,28.6
0.34,28.8
0.344,29.1
0.348,29.4
0.352,29.7
0.356,29.9
0.36,30.1
0.364,30.4
0.368,30.6
0.372,30.9
0.376,31.1
0.38,31.3
0.384,31.5
0.388,31.7
0.392,31.9
0.396,32.1
0.4,32.4
0.404,32.6
0.408,32.8
0.412,33.0
0.416,33.2
0.42,33.4
0.424,33.6
0.428,33.8
0.432,34.0
0.436,34.1
0.44,34.3
0.444,34.5
0.448,34.6
0.452,34.8
0.456,34.9
0.46,35.0
0.464,35.2
0.468,35.3
0.472,35.4
0.476,35.5
0.48,35.5
0.484,35.6
0.488,35.7
0.492,35.8
0.496,35.9
0.5,35.9
0.504,36.0
0.508,36.0
0.512,36.1
0.516,36.2
0.52,36.2
0.524,36.3
0.528,36.4
0.532,36.4
0.536,36.4
0.54,36.5
0.544,36.6
0.548,36.6
0.552,36.6
0.556,36.5
0.56,36.5
0.564,36.5
0.568,36.4
0.572,36.4
0.576,36.3
0.58,36.3
0.584,36.2
0.588,36.1
0.592,36.1
0.596,36.0
0.6,35.9
0.604,35.9
0.608,35.8
0.612,35.7
0.616,35.6
0.62,35.6
0.624,35.5
0.628,35.4
0.632,35.4
0.636,35.3
0.64,35.1
0.644,35.0
0.648,34.9
0.652,34.7
0.656,34.6
0.66,34.4
0.664,34.2
0.668,34.0
0.672,33.9
0.676,33.7
0.68,33.5
0.684,33.3
0.688,33.1
0.692,32.9
