Time (s) Run #1,Voltage (V) Run #1
0.0,17.6
0.004,17.3
0.008,17.1
0.012,16.8
0.016,16.6
0.02,16.4
0.024,16.1
0.028,15.9
0.032,15.7
0.036,15.4
0.04,15.2
0.044,15.0
0.048,14.7
0.052,14.6
0.056,14.3
0.06,14.1
0.064,13.9
0.068,13.7
0.072,13.4
0.076,13.2
0.08,13.0
0.084,12.7
0.088,12.5
0.092,12.2
0.096,11.9
0.1,11.7
0.104,11.5
0.108,11.3
0.112,11.1
0.116,10.8
0.12,10.6
0.124,10.4
0.128,10.2
0.132,10.0
0.136,9.7
0.14,9.5
0.144,9.2
0.148,9.0
0.152,8.8
0.156,8.6
0.16,8.3
0.164,8.1
0.168,7.9
0.172,7.6
0.176,7.4
0.18,7.1
0.184,6.9
0.188,6.7
0.192,6.5
0.196,6.2
0.2,6.1
0.204,5.8
0.208,5.6
0.212,5.4
0.216,5.1
0.22,4.9
0.224,4.7
0.228,4.4
0.232,4.2
0.236,3.9
0.24,3.7
0.244,3.5
0.248,3.3
0.252,3.0
0.256,2.8
0.26,2.5
0.264,2.3
0.268,2.1
0.272,1.9
0.276,1.7
0.28,1.5
0.284,1.2
0.288,1.0
0.292,0.8
0.296,0.5
0.3,0.3
0.304,0.1
0.308,-0.2
0.312,-0.4
0.316,-0.6
0.32,-0.9
0.324,-1.1
0.328,-1.4
0.332,-1.6
0.336,-1.8
0.34,-2.1
0.344,-2.2
0.348,-2.4
0.352,-2.7
0.356,-2.9
0.36,-3.1
0.364,-3.4
0.368,-3.6
0.372,-3.9
0.376,-4.1
0.38,-4.3
0.384,-4.6
0.388,-4.8
0.392,-5.0
0.396,-5.3
0.4,-5.5
0.404,-5.7
0.408,-5.9
0.412,-6.2
0.416,-6.3
0.42,-6.6
0.424,-6.8
0.428,-7.0
0.432,-7.3
0.436,-7.5
0.44,-7.7
0.444,-8.0
0.448,-7.9
0.452,-7.7
0.456,-7.4
0.46,-7.2
0.464,-7.0
0.468,-6.8
0.472,-6.5
0.476,-6.2
0.48,-6.1
0.484,-5.9
0.488,-5.7
0.492,-5.4
0.496,-5.1
0.5,-4.9
0.504,-4.7
0.508,-4.5
0.512,-4.2
0.516,-4.0
0.52,-3.8
0.524,-3.5
0.528,-3.3
0.532,-3.1
0.536,-2.8
0.54,-2.6
0.544,-2.3
0.548,-2.1
0.552,-2.0
0.556,-1.7
0.56,-1.5
0.564,-1.2
0.568,-1.0
0.572,-0.8
0.576,-0.5
0.58,-0.3
0.584,0.0
0.588,0.2
0.592,0.4
0.596,0.6
0.6,0.9
0.604,1.1
0.608,1.4
0.612,1.6
0.616,1.8
0.62,2.1
0.624,2.2
0.628,2.5
0.632,2.7
0.636,2.9
0.64,3.2
0.644,3.4
0.648,3.6
0.652,3.9
0.656,4.1
0.66,4.3
0.664,4.6
0.668,4.8
0.672,5.1
0.676,5.3
0.68,5.5
0.684,5.8
0.688,6.0
0.692,6.2
0.696,6.4
0.7,6.6
0.704,6.9
0.708,7.1
0.712,7.3
0.716,7.5
0.72,7.8
0.724,8.0
0.728,8.3
0.732,8.5
0.736,8.8
0.74,9.0
0.744,9.2
0.748,9.4
0.752,9.7
0.756,10.0
0.76,10.2
0.764,10.4
0.768,10.5
0.772,10.8
0.776,11.0
0.78,11.3
0.784,11.5
0.788,11.7
0.792,12.0
0.796,12.2
0.8,12.5
0.804,12.7
0.808,12.9
0.812,13.2
0.816,13.4
0.82,13.6
0.824,13.9
0.828,14.1
0.832,14.3
0.836,14.6
0.84,14.7
0.844,14.9
0.848,15.2
0.852,15.4
0.856,15.7
0.86,15.9
0.864,16.1
0.868,16.4
0.872,16.6
0.876,16.8
0.88,17.1
0.884,17.3
0.888,17.5
0.892,17.8
0.896,18.0
0.9,18.3
0.904,18.5
0.908,18.8
0.912,18.9
0.916,19.1
0.92,19.4
0.924,19.6
0.928,19.8
0.932,20.1
0.936,20.3
0.94,20.6
0.944,20.8
0.948,21.0
0.952,21.2
0.956,21.5
0.96,21.7
0.964,22.0
0.968,22.2
0.972,22.4
0.976,22.7
0.98,22.9
0.984,23.0
0.988,23.3
0.992,23.5
0.996,23.8
1.0,24.0
1.004,24.2
1.008,24.5
1.012,24.7
1.016,25.0
1.02,25.2
1.024,25.4
1.028,25.7
1.032,25.9
1.036,26.1
1.04,26.3
1.044,26.6
1.048,26.8
1.052,27.1
1.056,27.2
1.06,27.4
1.064,27.7
1.068,27.9
1.072,28.1
1.076,28.4
1.08,28.6
1.084,28.9
1.088,29.1
1.092,29.3
1.096,29.6
1.1,29.8
1.104,30.0
1.108,30.2
1.112,30.5
1.116,30.8
1.12,31.0
1.124,31.3
1.128,31.4
1.132,31.6
1.136,31.8
1.14,32.0
1.144,32.3
1.148,32.5
1.152,32.8
1.156,33.0
1.16,33.3
1.164,33.5
1.168,33.7
1.172,34.0
1.176,34.2
1.18,34.4
1.184,34.6
1.188,34.9
1.192,35.1
1.196,35.4
1.2,35.5
1.204,35.7
1.208,36.0
1.212,36.2
1.216,36.5
1.22,36.5
1.224,36.2
1.228,36.0
1.232,35.7
1.236,35.5
1.24,35.4
1.244,35.1
1.248,34.9
1.252,34.6
1.256,34.4
1.26,34.2
1.264,34.0
1.268,33.7
1.272,33.5
1.276,33.2
1.28,33.0
1.284,32.8
1.288,32.5
1.292,32.3
1.296,32.0
1.3,31.8
1.304,31.6
1.308,31.4
1.312,31.3
1.316,30.9
1.32,30.7
1.324,30.5
1.328,30.3
1.332,30.0
1.336,29.8
1.34,29.6
1.344,29.3
1.348,29.1
1.352,28.9
1.356,28.6
1.36,28.4
1.364,28.1
1.368,27.9
1.372,27.7
1.376,27.4
1.38,27.2
1.384,27.1
1.388,26.8
1.392,26.6
1.396,26.4
1.4,26.1
1.404,25.9
1.408,25.7
1.412,25.4
1.416,25.2
1.42,25.0
1.424,24.7
1.428,24.5
1.432,24.2
1.436,24.0
1.44,23.8
1.444,23.6
1.448,23.3
1.452,23.1
1.456,22.9
1.46,22.7
1.464,22.5
1.468,22.2
1.472,22.0
1.476,21.8
1.48,21.5
1.484,21.3
1.488,21.1
1.492,20.8
1.496,20.6
1.5,20.4
1.504,20.1
1.508,19.9
1.512,19.6
1.516,19.4
1.52,19.2
1.524,19.0
1.528,18.8
1.532,18.6
1.536,18.3
1.54,18.1
1.544,17.9
1.548,17.6
1.552,17.4
1.556,17.2
1.56,16.9
1.564,16.7
1.568,16.5
1.572,16.2
1.576,16.0
1.58,15.7
1.584,15.5
1.588,15.3
1.592,15.0
1.596,14.8
1.6,14.6
1.604,14.5
1.608,14.2
1.612,13.9
1.616,13.8
1.62,13.5
1.624,13.3
1.628,13.0
1.632,12.8
1.636,12.5
1.64,12.3
1.644,12.1
1.648,11.8
1.652,11.6
1.656,11.4
1.66,11.1
1.664,10.9
1.668,10.6
1.672,10.4
1.676,10.3
1.68,10.0
1.684,9.8
1.688,9.6
1.692,9.4
1.696,9.1
1.7,8.9
1.704,8.6
1.708,8.4
1.712,8.2
1.716,8.0
1.72,7.7
1.724,7.5
1.728,7.2
1.732,7.0
1.736,6.8
1.74,6.5
1.744,6.3
1.748,6.1
1.752,5.9
1.756,5.7
1.76,5.5
1.764,5.2
1.768,5.0
1.772,4.8
1.776,4.5
1.78,4.3
1.784,4.0
1.788,3.8
1.792,3.6
1.796,3.3
1.8,3.1
1.804,2.8
1.808,2.6
1.812,2.4
1.816,2.2
1.82,2.0
1.824,1.8
1.828,1.5
1.832,1.3
1.836,1.1
1.84,0.8
1.844,0.6
1.848,0.4
1.852,0.2
1.856,-0.1
1.86,-0.4
1.864,-0.6
1.868,-0.8
1.872,-1.0
1.876,-1.3
1.88,-1.5
1.884,-1.8
1.888,-2.0
1.892,-2.1
1.896,-2.4
1.9,-2.6
1.904,-2.8
1.908,-3.1
1.912,-3.3
1.916,-3.5
1.92,-3.8
1.924,-4.0
1.928,-4.2
1.932,-4.5
1.936,-4.7
1.94,-4.9
1.944,-5.2
1.948,-5.4
1.952,-5.6
1.956,-5.9
1.96,-6.1
1.964,-6.2
1.968,-6.5
1.972,-6.7
1.976,-6.9
1.98,-7.2
1.984,-7.4
1.988,-7.7
1.992,-7.9
1.996,-8.0
2.0,-7.8
2.004,-7.6
2.008,-7.3
2.012,-7.1
2.016,-6.8
2.02,-6.6
2.024,-6.4
2.028,-6.2
2.032,-5.9
2.036,-5.7
2.04,-5.5
2.044,-5.2
2.048,-5.0
2.052,-4.8
2.056,-4.5
2.06,-4.3
2.064,-4.1
2.068,-3.8
2.072,-3.6
2.076,-3.3
2.08,-3.1
2.084,-2.9
2.088,-2.7
2.092,-2.4
2.096,-2.2
2.1,-2.0
2.104,-1.8
2.108,-1.5
2.112,-1.3
2.116,-1.1
2.12,-0.8
2.124,-0.6
2.128,-0.4
2.132,-0.2
2.136,0.1
2.14,0.3
2.144,0.6
2.148,0.8
2.152,1.0
2.156,1.3
2.16,1.6
2.164,1.8
2.168,2.0
2.172,2.1
2.176,2.4
2.18,2.6
2.184,2.8
2.188,3.1
2.192,3.3
2.196,3.6
2.2,3.8
2.204,4.0
2.208,4.3
2.212,4.5
2.216,4.7
2.22,5.0
2.224,5.2
2.228,5.5
2.232,5.7
2.236,5.9
2.24,6.2
2.244,6.3
2.248,6.5
2.252,6.8
2.256,7.0
2.26,7.2
2.264,7.5
2.268,7.7
2.272,8.0
2.276,8.2
2.28,8.4
2.284,8.7
2.288,8.9
2.292,9.1
2.296,9.4
2.3,9.6
2.304,9.8
2.308,10.1
2.312,10.3
2.316,10.5
2.32,10.7
2.324,11.0
2.328,11.2
2.332,11.4
2.336,11.7
2.34,11.9
2.344,12.1
2.348,12.3
2.352,12.6
2.356,12.9
2.36,13.1
2.364,13.3
2.368,13.5
2.372,13.8
2.376,14.1
2.38,14.3
2.384,14.5
2.388,14.6
2.392,14.9
2.396,15.1
2.4,15.3
2.404,15.6
2.408,15.8
2.412,16.1
2.416,16.3
2.42,16.5
2.424,16.8
2.428,17.0
2.432,17.3
2.436,17.5
2.44,17.7
2.444,17.9
2.448,18.2
2.452,18.4
2.456,18.6
2.46,18.8
2.464,19.0
2.468,19.3
2.472,19.5
2.476,19.8
2.48,20.0
2.484,20.2
2.488,20.5
2.492,20.7
2.496,20.9
2.5,21.2
2.504,21.4
2.508,21.7
2.512,21.9
2.516,22.1
2.52,22.4
2.524,22.6
2.528,22.9
2.532,23.0
2.536,23.2
2.54,23.4
2.544,23.6
2.548,23.9
2.552,24.2
2.556,24.4
