Time (s) Run #1,Voltage (V) Run #1
0.0,1.5
0.004,1.7
0.008,1.9
0.012,2.1
0.016,2.3
0.02,2.5
0.024,2.8
0.028,3.1
0.032,3.3
0.036,3.5
0.04,3.7
0.044,4.0
0.048,4.2
0.052,4.4
0.056,4.7
0.06,4.9
0.064,5.1
0.068,5.4
0.072,5.6
0.076,5.9
0.08,6.1
0.084,6.3
0.088,6.5
0.092,6.7
0.096,7.0
0.1,7.2
0.104,7.4
0.108,7.6
0.112,7.9
0.116,8.1
0.12,8.4
0.124,8.6
0.128,8.9
0.132,9.1
0.136,9.3
0.14,9.6
0.144,9.8
0.148,10.0
0.152,10.2
0.156,10.4
0.16,10.6
0.164,10.9
0.168,11.1
0.172,11.3
0.176,11.6
0.18,11.8
0.184,12.1
0.188,12.3
0.192,12.6
0.196,12.8
0.2,13.0
0.204,13.2
0.208,13.5
0.212,13.7
0.216,13.9
0.22,14.2
0.224,14.4
0.228,14.6
0.232,14.8
0.236,15.0
0.24,15.2
0.244,15.5
0.248,15.8
0.252,16.0
0.256,16.2
0.26,16.4
0.264,16.7
0.268,16.9
0.272,17.2
0.276,17.4
0.28,17.7
0.284,17.9
0.288,18.1
0.292,18.3
0.296,18.6
0.3,18.8
0.304,19.0
0.308,19.2
0.312,19.5
0.316,19.7
0.32,19.9
0.324,20.1
0.328,20.4
0.332,20.7
0.336,20.9
0.34,21.1
0.344,21.3
0.348,21.6
0.352,21.8
0.356,22.0
0.36,22.3
0.364,22.6
0.368,22.7
0.372,22.9
0.376,23.1
0.38,23.4
0.384,23.6
0.388,23.8
0.392,24.0
0.396,24.3
0.4,24.6
0.404,24.8
0.408,25.0
0.412,25.3
0.416,25.5
0.42,25.7
0.424,26.0
0.428,26.2
0.432,26.4
0.436,26.7
0.44,26.9
0.444,27.1
0.448,27.3
0.452,27.5
0.456,27.8
0.46,28.0
0.464,28.3
0.468,28.5
0.472,28.7
0.476,28.9
0.48,29.2
0.484,29.4
0.488,29.7
0.492,29.9
0.496,30.2
