"Date and Time Run #1","Time (s) Run #1","Voltage (V) Run #1"
03/13/2024 02:15:39 pm,0.000,0.3
03/13/2024 02:15:39 pm,0.004,0.6
03/13/2024 02:15:39 pm,0.008,0.8
03/13/2024 02:15:39 pm,0.012,1.1
03/13/2024 02:15:39 pm,0.016,1.4
03/13/2024 02:15:39 pm,0.020,1.7
03/13/2024 02:15:39 pm,0.024,2.0
03/13/2024 02:15:39 pm,0.028,2.2
03/13/2024 02:15:39 pm,0.032,2.5
03/13/2024 02:15:39 pm,0.036,2.8
03/13/2024 02:15:39 pm,0.040,3.1
03/13/2024 02:15:39 pm,0.044,3.5
03/13/2024 02:15:39 pm,0.048,3.8
03/13/2024 02:15:39 pm,0.052,4.1
03/13/2024 02:15:39 pm,0.056,4.4
03/13/2024 02:15:39 pm,0.060,4.8
03/13/2024 02:15:39 pm,0.064,5.1
03/13/2024 02:15:39 pm,0.068,5.5
03/13/2024 02:15:39 pm,0.072,5.8
03/13/2024 02:15:39 pm,0.076,6.2
03/13/2024 02:15:39 pm,0.080,6.4
03/13/2024 02:15:39 pm,0.084,6.8
03/13/2024 02:15:39 pm,0.088,7.1
03/13/2024 02:15:39 pm,0.092,7.5
03/13/2024 02:15:39 pm,0.096,7.9
03/13/2024 02:15:39 pm,0.100,8.2
03/13/2024 02:15:39 pm,0.104,8.6
03/13/2024 02:15:39 pm,0.108,9.0
03/13/2024 02:15:39 pm,0.112,9.4
03/13/2024 02:15:39 pm,0.116,9.7
03/13/2024 02:15:39 pm,0.120,10.1
03/13/2024 02:15:39 pm,0.124,10.4
03/13/2024 02:15:39 pm,0.128,10.8
03/13/2024 02:15:39 pm,0.132,11.1
03/13/2024 02:15:39 pm,0.136,11.5
03/13/2024 02:15:39 pm,0.140,11.9
03/13/2024 02:15:39 pm,0.144,12.3
03/13/2024 02:15:39 pm,0.148,12.7
03/13/2024 02:15:39 pm,0.152,13.1
03/13/2024 02:15:39 pm,0.156,13.5
03/13/2024 02:15:39 pm,0.160,13.8
03/13/2024 02:15:39 pm,0.164,14.2
03/13/2024 02:15:39 pm,0.168,14.6
03/13/2024 02:15:39 pm,0.172,14.9
03/13/2024 02:15:39 pm,0.176,15.3
03/13/2024 02:15:39 pm,0.180,15.7
03/13/2024 02:15:39 pm,0.184,16.1
03/13/2024 02:15:39 pm,0.188,16.4
03/13/2024 02:15:39 pm,0.192,16.8
03/13/2024 02:15:39 pm,0.196,17.2
03/13/2024 02:15:39 pm,0.200,17.6
03/13/2024 02:15:39 pm,0.204,18.0
03/13/2024 02:15:39 pm,0.208,18.3
03/13/2024 02:15:39 pm,0.212,18.7
03/13/2024 02:15:39 pm,0.216,19.0
03/13/2024 02:15:39 pm,0.220,19.4
03/13/2024 02:15:39 pm,0.224,19.7
03/13/2024 02:15:39 pm,0.228,20.1
03/13/2024 02:15:39 pm,0.232,20.5
03/13/2024 02:15:39 pm,0.236,20.8
03/13/2024 02:15:39 pm,0.240,21.2
03/13/2024 02:15:39 pm,0.244,21.5
03/13/2024 02:15:39 pm,0.248,21.9
03/13/2024 02:15:39 pm,0.252,22.2
03/13/2024 02:15:39 pm,0.256,22.6
03/13/2024 02:15:39 pm,0.260,22.9
03/13/2024 02:15:39 pm,0.264,23.2
03/13/2024 02:15:39 pm,0.268,23.5
03/13/2024 02:15:39 pm,0.272,23.9
03/13/2024 02:15:39 pm,0.276,24.2
03/13/2024 02:15:39 pm,0.280,24.5
03/13/2024 02:15:39 pm,0.284,24.8
03/13/2024 02:15:39 pm,0.288,25.2
03/13/2024 02:15:39 pm,0.292,25.5
03/13/2024 02:15:39 pm,0.296,25.8
03/13/2024 02:15:39 pm,0.300,26.1
03/13/2024 02:15:39 pm,0.304,26.4
03/13/2024 02:15:39 pm,0.308,26.7
03/13/2024 02:15:39 pm,0.312,27.0
03/13/2024 02:15:39 pm,0.316,27.2
03/13/2024 02:15:39 pm,0.320,27.5
03/13/2024 02:15:39 pm,0.324,27.7
03/13/2024 02:15:39 pm,0.328,28.1
03/13/2024 02:15:39 pm,0.332,28.3
