"Date and Time Run #1","Time (s) Run #1","Voltage (V) Run #1"
03/13/2024 02:16:41 pm,0.000,17.6
03/13/2024 02:16:41 pm,0.004,17.3
03/13/2024 02:16:41 pm,0.008,17.1
03/13/2024 02:16:41 pm,0.012,16.8
03/13/2024 02:16:41 pm,0.016,16.6
03/13/2024 02:16:41 pm,0.020,16.4
03/13/2024 02:16:41 pm,0.024,16.1
03/13/2024 02:16:41 pm,0.028,15.9
03/13/2024 02:16:41 pm,0.032,15.7
03/13/2024 02:16:41 pm,0.036,15.4
03/13/2024 02:16:41 pm,0.040,15.2
03/13/2024 02:16:41 pm,0.044,15.0
03/13/2024 02:16:41 pm,0.048,14.7
03/13/2024 02:16:41 pm,0.052,14.6
03/13/2024 02:16:41 pm,0.056,14.3
03/13/2024 02:16:41 pm,0.060,14.1
03/13/2024 02:16:41 pm,0.064,13.9
03/13/2024 02:16:41 pm,0.068,13.7
03/13/2024 02:16:41 pm,0.072,13.4
03/13/2024 02:16:41 pm,0.076,13.2
03/13/2024 02:16:41 pm,0.080,13.0
03/13/2024 02:16:41 pm,0.084,12.7
03/13/2024 02:16:41 pm,0.088,12.5
03/13/2024 02:16:41 pm,0.092,12.2
03/13/2024 02:16:41 pm,0.096,11.9
03/13/2024 02:16:41 pm,0.100,11.7
03/13/2024 02:16:41 pm,0.104,11.5
03/13/2024 02:16:41 pm,0.108,11.3
03/13/2024 02:16:41 pm,0.112,11.1
03/13/2024 02:16:41 pm,0.116,10.8
03/13/2024 02:16:41 pm,0.120,10.6
03/13/2024 02:16:41 pm,0.124,10.4
03/13/2024 02:16:41 pm,0.128,10.2
03/13/2024 02:16:41 pm,0.132,10.0
03/13/2024 02:16:41 pm,0.136,9.7
03/13/2024 02:16:41 pm,0.140,9.5
03/13/2024 02:16:41 pm,0.144,9.2
03/13/2024 02:16:41 pm,0.148,9.0
03/13/2024 02:16:41 pm,0.152,8.8
03/13/2024 02:16:41 pm,0.156,8.6
03/13/2024 02:16:41 pm,0.160,8.3
03/13/2024 02:16:41 pm,0.164,8.1
03/13/2024 02:16:41 pm,0.168,7.9
03/13/2024 02:16:41 pm,0.172,7.6
03/13/2024 02:16:41 pm,0.176,7.4
03/13/2024 02:16:41 pm,0.180,7.1
03/13/2024 02:16:41 pm,0.184,6.9
03/13/2024 02:16:41 pm,0.188,6.7
03/13/2024 02:16:41 pm,0.192,6.5
03/13/2024 02:16:41 pm,0.196,6.2
03/13/2024 02:16:41 pm,0.200,6.1
03/13/2024 02:16:41 pm,0.204,5.8
03/13/2024 02:16:41 pm,0.208,5.6
03/13/2024 02:16:41 pm,0.212,5.4
03/13/2024 02:16:41 pm,0.216,5.1
03/13/2024 02:16:41 pm,0.220,4.9
03/13/2024 02:16:41 pm,0.224,4.7
03/13/2024 02:16:41 pm,0.228,4.4
03/13/2024 02:16:41 pm,0.232,4.2
03/13/2024 02:16:41 pm,0.236,3.9
03/13/2024 02:16:41 pm,0.240,3.7
03/13/2024 02:16:41 pm,0.244,3.5
03/13/2024 02:16:41 pm,0.248,3.3
03/13/2024 02:16:41 pm,0.252,3.0
03/13/2024 02:16:41 pm,0.256,2.8
03/13/2024 02:16:41 pm,0.260,2.5
03/13/2024 02:16:41 pm,0.264,2.3
03/13/2024 02:16:41 pm,0.268,2.1
03/13/2024 02:16:41 pm,0.272,1.9
03/13/2024 02:16:41 pm,0.276,1.7
03/13/2024 02:16:41 pm,0.280,1.5
03/13/2024 02:16:41 pm,0.284,1.2
03/13/2024 02:16:41 pm,0.288,1.0
03/13/2024 02:16:41 pm,0.292,0.8
03/13/2024 02:16:41 pm,0.296,0.5
03/13/2024 02:16:41 pm,0.300,0.3
03/13/2024 02:16:41 pm,0.304,0.1
03/13/2024 02:16:41 pm,0.308,-0.2
03/13/2024 02:16:41 pm,0.312,-0.4
03/13/2024 02:16:41 pm,0.316,-0.6
03/13/2024 02:16:41 pm,0.320,-0.9
03/13/2024 02:16:41 pm,0.324,-1.1
03/13/2024 02:16:41 pm,0.328,-1.4
03/13/2024 02:16:41 pm,0.332,-1.6
03/13/2024 02:16:41 pm,0.336,-1.8
03/13/2024 02:16:41 pm,0.340,-2.1
03/13/2024 02:16:41 pm,0.344,-2.2
03/13/2024 02:16:41 pm,0.348,-2.4
03/13/2024 02:16:41 pm,0.352,-2.7
03/13/2024 02:16:41 pm,0.356,-2.9
03/13/2024 02:16:41 pm,0.360,-3.1
03/13/2024 02:16:41 pm,0.364,-3.4
03/13/2024 02:16:41 pm,0.368,-3.6
03/13/2024 02:16:41 pm,0.372,-3.9
03/13/2024 02:16:41 pm,0.376,-4.1
03/13/2024 02:16:41 pm,0.380,-4.3
03/13/2024 02:16:41 pm,0.384,-4.6
03/13/2024 02:16:41 pm,0.388,-4.8
03/13/2024 02:16:41 pm,0.392,-5.0
03/13/2024 02:16:41 pm,0.396,-5.3
03/13/2024 02:16:41 pm,0.400,-5.5
03/13/2024 02:16:41 pm,0.404,-5.7
03/13/2024 02:16:41 pm,0.408,-5.9
03/13/2024 02:16:41 pm,0.412,-6.2
03/13/2024 02:16:41 pm,0.416,-6.3
03/13/2024 02:16:41 pm,0.420,-6.6
03/13/2024 02:16:41 pm,0.424,-6.8
03/13/2024 02:16:41 pm,0.428,-7.0
03/13/2024 02:16:41 pm,0.432,-7.3
03/13/2024 02:16:41 pm,0.436,-7.5
03/13/2024 02:16:41 pm,0.440,-7.7
03/13/2024 02:16:41 pm,0.444,-8.0
03/13/2024 02:16:41 pm,0.448,-7.9
03/13/2024 02:16:41 pm,0.452,-7.7
03/13/2024 02:16:41 pm,0.456,-7.4
03/13/2024 02:16:41 pm,0.460,-7.2
03/13/2024 02:16:41 pm,0.464,-7.0
03/13/2024 02:16:41 pm,0.468,-6.8
03/13/2024 02:16:41 pm,0.472,-6.5
03/13/2024 02:16:41 pm,0.476,-6.2
03/13/2024 02:16:41 pm,0.480,-6.1
03/13/2024 02:16:41 pm,0.484,-5.9
03/13/2024 02:16:41 pm,0.488,-5.7
03/13/2024 02:16:41 pm,0.492,-5.4
03/13/2024 02:16:41 pm,0.496,-5.1
03/13/2024 02:16:41 pm,0.500,-4.9
03/13/2024 02:16:41 pm,0.504,-4.7
03/13/2024 02:16:41 pm,0.508,-4.5
03/13/2024 02:16:41 pm,0.512,-4.2
03/13/2024 02:16:41 pm,0.516,-4.0
03/13/2024 02:16:41 pm,0.520,-3.8
03/13/2024 02:16:41 pm,0.524,-3.5
03/13/2024 02:16:41 pm,0.528,-3.3
03/13/2024 02:16:41 pm,0.532,-3.1
03/13/2024 02:16:41 pm,0.536,-2.8
03/13/2024 02:16:41 pm,0.540,-2.6
03/13/2024 02:16:41 pm,0.544,-2.3
03/13/2024 02:16:41 pm,0.548,-2.1
03/13/2024 02:16:41 pm,0.552,-2.0
03/13/2024 02:16:41 pm,0.556,-1.7
03/13/2024 02:16:41 pm,0.560,-1.5
03/13/2024 02:16:41 pm,0.564,-1.2
03/13/2024 02:16:41 pm,0.568,-1.0
03/13/2024 02:16:41 pm,0.572,-0.8
03/13/2024 02:16:41 pm,0.576,-0.5
03/13/2024 02:16:41 pm,0.580,-0.3
03/13/2024 02:16:41 pm,0.584,0.0
03/13/2024 02:16:41 pm,0.588,0.2
03/13/2024 02:16:41 pm,0.592,0.4
03/13/2024 02:16:41 pm,0.596,0.6
03/13/2024 02:16:41 pm,0.600,0.9
03/13/2024 02:16:41 pm,0.604,1.1
03/13/2024 02:16:41 pm,0.608,1.4
03/13/2024 02:16:41 pm,0.612,1.6
03/13/2024 02:16:41 pm,0.616,1.8
03/13/2024 02:16:41 pm,0.620,2.1
03/13/2024 02:16:41 pm,0.624,2.2
03/13/2024 02:16:41 pm,0.628,2.5
03/13/2024 02:16:41 pm,0.632,2.7
03/13/2024 02:16:41 pm,0.636,2.9
03/13/2024 02:16:41 pm,0.640,3.2
03/13/2024 02:16:41 pm,0.644,3.4
03/13/2024 02:16:41 pm,0.648,3.6
03/13/2024 02:16:41 pm,0.652,3.9
03/13/2024 02:16:41 pm,0.656,4.1
03/13/2024 02:16:41 pm,0.660,4.3
03/13/2024 02:16:41 pm,0.664,4.6
03/13/2024 02:16:41 pm,0.668,4.8
03/13/2024 02:16:41 pm,0.672,5.1
03/13/2024 02:16:41 pm,0.676,5.3
03/13/2024 02:16:41 pm,0.680,5.5
03/13/2024 02:16:41 pm,0.684,5.8
03/13/2024 02:16:41 pm,0.688,6.0
03/13/2024 02:16:41 pm,0.692,6.2
03/13/2024 02:16:41 pm,0.696,6.4
