"Date and Time Run #1","Time (s) Run #1","Voltage (V) Run #1"
03/13/2024 02:14:53 pm,0.000,1.5
03/13/2024 02:14:53 pm,0.004,1.7
03/13/2024 02:14:53 pm,0.008,1.9
03/13/2024 02:14:53 pm,0.012,2.1
03/13/2024 02:14:53 pm,0.016,2.3
03/13/2024 02:14:53 pm,0.020,2.5
03/13/2024 02:14:53 pm,0.024,2.8
03/13/2024 02:14:53 pm,0.028,3.1
03/13/2024 02:14:53 pm,0.032,3.3
03/13/2024 02:14:53 pm,0.036,3.5
03/13/2024 02:14:53 pm,0.040,3.7
03/13/2024 02:14:53 pm,0.044,4.0
03/13/2024 02:14:53 pm,0.048,4.2
03/13/2024 02:14:53 pm,0.052,4.4
03/13/2024 02:14:53 pm,0.056,4.7
03/13/2024 02:14:53 pm,0.060,4.9
03/13/2024 02:14:53 pm,0.064,5.1
03/13/2024 02:14:53 pm,0.068,5.4
03/13/2024 02:14:53 pm,0.072,5.6
03/13/2024 02:14:53 pm,0.076,5.9
03/13/2024 02:14:53 pm,0.080,6.1
03/13/2024 02:14:53 pm,0.084,6.3
03/13/2024 02:14:53 pm,0.088,6.5
03/13/2024 02:14:53 pm,0.092,6.7
03/13/2024 02:14:53 pm,0.096,7.0
03/13/2024 02:14:53 pm,0.100,7.2
03/13/2024 02:14:53 pm,0.104,7.4
03/13/2024 02:14:53 pm,0.108,7.6
03/13/2024 02:14:53 pm,0.112,7.9
03/13/2024 02:14:53 pm,0.116,8.1
03/13/2024 02:14:53 pm,0.120,8.4
03/13/2024 02:14:53 pm,0.124,8.6
03/13/2024 02:14:53 pm,0.128,8.9
03/13/2024 02:14:53 pm,0.132,9.1
03/13/2024 02:14:53 pm,0.136,9.3
03/13/2024 02:14:53 pm,0.140,9.6
03/13/2024 02:14:53 pm,0.144,9.8
03/13/2024 02:14:53 pm,0.148,10.0
03/13/2024 02:14:53 pm,0.152,10.2
03/13/2024 02:14:53 pm,0.156,10.4
03/13/2024 02:14:53 pm,0.160,10.6
03/13/2024 02:14:53 pm,0.164,10.9
03/13/2024 02:14:53 pm,0.168,11.1
03/13/2024 02:14:53 pm,0.172,11.3
03/13/2024 02:14:53 pm,0.176,11.6
03/13/2024 02:14:53 pm,0.180,11.8
03/13/2024 02:14:53 pm,0.184,12.1
03/13/2024 02:14:53 pm,0.188,12.3
03/13/2024 02:14:53 pm,0.192,12.6
03/13/2024 02:14:53 pm,0.196,12.8
03/13/2024 02:14:53 pm,0.200,13.0
03/13/2024 02:14:53 pm,0.204,13.2
03/13/2024 02:14:53 pm,0.208,13.5
03/13/2024 02:14:53 pm,0.212,13.7
03/13/2024 02:14:53 pm,0.216,13.9
03/13/2024 02:14:53 pm,0.220,14.2
03/13/2024 02:14:53 pm,0.224,14.4
03/13/2024 02:14:53 pm,0.228,14.6
03/13/2024 02:14:53 pm,0.232,14.8
03/13/2024 02:14:53 pm,0.236,15.0
03/13/2024 02:14:53 pm,0.240,15.2
03/13/2024 02:14:53 pm,0.244,15.5
03/13/2024 02:14:53 pm,0.248,15.8
03/13/2024 02:14:53 pm,0.252,16.0
03/13/2024 02:14:53 pm,0.256,16.2
03/13/2024 02:14:53 pm,0.260,16.4
03/13/2024 02:14:53 pm,0.264,16.7
03/13/2024 02:14:53 pm,0.268,16.9
03/13/2024 02:14:53 pm,0.272,17.2
03/13/2024 02:14:53 pm,0.276,17.4
03/13/2024 02:14:53 pm,0.280,17.7
03/13/2024 02:14:53 pm,0.284,17.9
03/13/2024 02:14:53 pm,0.288,18.1
03/13/2024 02:14:53 pm,0.292,18.3
