"Date and Time Run #1","Time (s) Run #1","Voltage (V) Run #1"
03/13/2024 02:14:12 pm,0.000,-7.5
03/13/2024 02:14:12 pm,0.004,-7.5
03/13/2024 02:14:12 pm,0.008,-7.5
03/13/2024 02:14:12 pm,0.012,-7.5
03/13/2024 02:14:12 pm,0.016,-7.5
03/13/2024 02:14:12 pm,0.020,-7.5
03/13/2024 02:14:12 pm,0.024,-7.5
03/13/2024 02:14:12 pm,0.028,-7.6
03/13/2024 02:14:12 pm,0.032,-7.6
03/13/2024 02:14:12 pm,0.036,-7.5
03/13/2024 02:14:12 pm,0.040,-7.5
03/13/2024 02:14:12 pm,0.044,-7.5
03/13/2024 02:14:12 pm,0.048,-7.5
03/13/2024 02:14:12 pm,0.052,-7.5
03/13/2024 02:14:12 pm,0.056,-7.5
03/13/2024 02:14:12 pm,0.060,-7.5
03/13/2024 02:14:12 pm,0.064,-7.6
03/13/2024 02:14:12 pm,0.068,-7.5
03/13/2024 02:14:12 pm,0.072,-7.5
03/13/2024 02:14:12 pm,0.076,-7.5
03/13/2024 02:14:12 pm,0.080,-7.6
03/13/2024 02:14:12 pm,0.084,-7.5
03/13/2024 02:14:12 pm,0.088,-7.5
03/13/2024 02:14:12 pm,0.092,-7.5
03/13/2024 02:14:12 pm,0.096,-7.5
03/13/2024 02:14:12 pm,0.100,-7.6
03/13/2024 02:14:12 pm,0.104,-7.5
03/13/2024 02:14:12 pm,0.108,-7.5
03/13/2024 02:14:12 pm,0.112,-7.5
03/13/2024 02:14:12 pm,0.116,-7.5
03/13/2024 02:14:12 pm,0.120,-7.5
03/13/2024 02:14:12 pm,0.124,-7.5
03/13/2024 02:14:12 pm,0.128,-7.5
03/13/2024 02:14:12 pm,0.132,-7.6
03/13/2024 02:14:12 pm,0.136,-7.5
03/13/2024 02:14:12 pm,0.140,-7.5
03/13/2024 02:14:12 pm,0.144,-7.5
03/13/2024 02:14:12 pm,0.148,-7.6
03/13/2024 02:14:12 pm,0.152,-7.5
03/13/2024 02:14:12 pm,0.156,-7.6
03/13/2024 02:14:12 pm,0.160,-7.5
03/13/2024 02:14:12 pm,0.164,-7.6
03/13/2024 02:14:12 pm,0.168,-7.5
03/13/2024 02:14:12 pm,0.172,-7.6
03/13/2024 02:14:12 pm,0.176,-7.5
03/13/2024 02:14:12 pm,0.180,-7.6
03/13/2024 02:14:12 pm,0.184,-7.5
03/13/2024 02:14:12 pm,0.188,-7.5
03/13/2024 02:14:12 pm,0.192,-7.5
03/13/2024 02:14:12 pm,0.196,-7.5
03/13/2024 02:14:12 pm,0.200,-7.6
03/13/2024 02:14:12 pm,0.204,-7.5
03/13/2024 02:14:12 pm,0.208,-7.5
03/13/2024 02:14:12 pm,0.212,-7.5
03/13/2024 02:14:12 pm,0.216,-7.5
03/13/2024 02:14:12 pm,0.220,-7.5
03/13/2024 02:14:12 pm,0.224,-7.6
03/13/2024 02:14:12 pm,0.228,-7.6
03/13/2024 02:14:12 pm,0.232,-7.6
03/13/2024 02:14:12 pm,0.236,-7.5
03/13/2024 02:14:12 pm,0.240,-7.6
03/13/2024 02:14:12 pm,0.244,-7.5
03/13/2024 02:14:12 pm,0.248,-7.5
03/13/2024 02:14:12 pm,0.252,-7.5
03/13/2024 02:14:12 pm,0.256,-7.5
03/13/2024 02:14:12 pm,0.260,-7.5
03/13/2024 02:14:12 pm,0.264,-7.5
03/13/2024 02:14:12 pm,0.268,-7.5
03/13/2024 02:14:12 pm,0.272,-7.5
03/13/2024 02:14:12 pm,0.276,-7.5
03/13/2024 02:14:12 pm,0.280,-7.6
03/13/2024 02:14:12 pm,0.284,-7.5
